Beans,Bread,Cerel,ChdBby,Chips,Corn,Eggs,Fish,Fruit,Meat,Milk,Pepper,Rice,Salza,Sauce,Soda,Tomato,Tortya,Vegges,YogChs
1.0,-0.119,-0.181,0.026,-0.062,0.43,-0.511,-0.371,-0.009,-0.632,-0.082,0.278,0.411,0.519,0.52,-0.403,0.222,0.416,0.263,0.555
-0.119,1.0,0.444,0.005,0.118,-0.134,0.002,-0.066,0.042,0.011,0.44,0.203,-0.08,0.021,-0.077,-0.057,-0.275,-0.206,-0.026,-0.071
-0.181,0.444,1.0,0.013,0.344,-0.308,-0.015,-0.036,-0.012,-0.02,0.288,0.014,-0.363,0.076,-0.042,0.271,-0.474,-0.347,-0.397,-0.41
0.026,0.005,0.013,1.0,-0.043,-0.038,-0.016,0.035,-0.016,-0.043,-0.035,-0.051,0.018,-0.015,0.035,-0.03,-0.023,-0.049,0.001,-0.027
-0.062,0.118,0.344,-0.043,1.0,0.283,0.19,-0.314,-0.007,0.296,0.046,0.395,-0.509,0.489,-0.458,0.537,0.207,0.366,-0.541,-0.295
0.43,-0.134,-0.308,-0.038,0.283,1.0,0.108,-0.252,0.021,0.022,0.227,0.718,0.348,0.63,-0.291,-0.323,0.692,0.833,0.321,0.529
-0.511,0.002,-0.015,-0.016,0.19,0.108,1.0,0.449,-0.043,0.537,0.242,0.11,-0.042,-0.041,-0.687,0.069,0.253,0.126,-0.033,-0.273
-0.371,-0.066,-0.036,0.035,-0.314,-0.252,0.449,1.0,-0.044,0.077,0.156,-0.338,0.221,-0.27,-0.144,-0.203,-0.101,-0.285,0.128,-0.347
-0.009,0.042,-0.012,-0.016,-0.007,0.021,-0.043,-0.044,1.0,-0.002,0.001,0.0,-0.021,-0.011,0.01,-0.002,-0.04,-0.031,0.005,0.019
-0.632,0.011,-0.02,-0.043,0.296,0.022,0.537,0.077,-0.002,1.0,0.09,0.104,-0.359,-0.223,-0.729,0.39,0.196,0.059,-0.21,-0.269
-0.082,0.44,0.288,-0.035,0.046,0.227,0.242,0.156,0.001,0.09,1.0,0.487,0.247,0.222,-0.335,-0.417,0.013,0.108,0.3,0.142
0.278,0.203,0.014,-0.051,0.395,0.718,0.11,-0.338,0.0,0.104,0.487,1.0,0.19,0.626,-0.397,-0.27,0.507,0.678,0.233,0.435
0.411,-0.08,-0.363,0.018,-0.509,0.348,-0.042,0.221,-0.021,-0.359,0.247,0.19,1.0,0.172,0.213,-0.803,0.256,0.262,0.69,0.564
0.519,0.021,0.076,-0.015,0.489,0.63,-0.041,-0.27,-0.011,-0.223,0.222,0.626,0.172,1.0,-0.098,-0.169,0.403,0.643,0.016,0.255
0.52,-0.077,-0.042,0.035,-0.458,-0.291,-0.687,-0.144,0.01,-0.729,-0.335,-0.397,0.213,-0.098,1.0,-0.21,-0.373,-0.314,0.124,0.198
-0.403,-0.057,0.271,-0.03,0.537,-0.323,0.069,-0.203,-0.002,0.39,-0.417,-0.27,-0.803,-0.169,-0.21,1.0,-0.167,-0.205,-0.756,-0.592
0.222,-0.275,-0.474,-0.023,0.207,0.692,0.253,-0.101,-0.04,0.196,0.013,0.507,0.256,0.403,-0.373,-0.167,1.0,0.737,0.228,0.383
0.416,-0.206,-0.347,-0.049,0.366,0.833,0.126,-0.285,-0.031,0.059,0.108,0.678,0.262,0.643,-0.314,-0.205,0.737,1.0,0.218,0.47
0.263,-0.026,-0.397,0.001,-0.541,0.321,-0.033,0.128,0.005,-0.21,0.3,0.233,0.69,0.016,0.124,-0.756,0.228,0.218,1.0,0.605
0.555,-0.071,-0.41,-0.027,-0.295,0.529,-0.273,-0.347,0.019,-0.269,0.142,0.435,0.564,0.255,0.198,-0.592,0.383,0.47,0.605,1.0
